ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,rank,zscore
BP,GO:0009123,nucleoside monophosphate metabolic process,135/4747,267/19395,2.029009218470521e-20,1.1362451623434919e-17,7.475297120680868e-18,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/11565/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/80914/22272/71207/22247/11964/68197/11474/23917/229665/18640/66945/66414/12858/15452/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/108155/56012/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/67126/11821/241113/67530/110074/225887/66043/11946/67264/71679/16000/108099/13382/12861/11486/11949/74006/381101/56421/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/20425/11958/15251/11966/83429/67267/12866/11977/67914/18648/15277/28080/103850/14430/22273/11545/12862/67059,135,11,-0.33611115913797196
BP,GO:0009199,ribonucleoside triphosphate metabolic process,131/4747,257/19395,3.0071278986461076e-20,1.5436589879716688e-17,1.0155651236655714e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/11964/68197/11474/23917/18640/66945/66414/12858/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/107197/104215/108155/79059/56012/16337/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/268566/67126/241113/67530/225887/66043/67414/11946/67264/71679/16000/108099/13382/12861/11949/74006/74143/56421/14679/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/55936/216805/84682/51797/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/16434/67914/18648/15277/28080/14430/22273/11545/12862/14904/67059/17434,131,12,0.29649972666444047
BP,GO:0009161,ribonucleoside monophosphate metabolic process,131/4747,258/19395,4.6514785155286416e-20,2.204085204281264e-17,1.4500560554482e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/11565/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/80914/22272/71207/22247/11964/68197/11474/23917/229665/18640/66945/66414/12858/15452/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/108155/56012/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/67126/11821/241113/67530/225887/66043/11946/67264/71679/16000/108099/13382/12861/11486/11949/74006/56421/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/67914/18648/15277/28080/14430/22273/11545/12862/67059,131,13,-0.5299078148731252
BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,129/4747,253/19395,5.647508704419119e-20,2.4849038299444125e-17,1.6348051512792188e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/11964/68197/11474/23917/18640/66945/66414/12858/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/107197/104215/108155/79059/56012/16337/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/268566/67126/241113/67530/225887/66043/67414/11946/67264/71679/16000/108099/13382/12861/11949/74006/74143/56421/14679/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/16434/67914/18648/15277/28080/14430/22273/11545/12862/14904/67059/17434,129,14,0
BP,GO:0009167,purine ribonucleoside monophosphate metabolic process,129/4747,254/19395,8.737665704916442e-20,3.588268049485686e-17,2.3607026641353198e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/11565/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/71207/11964/68197/11474/23917/229665/18640/66945/66414/12858/15452/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/108155/56012/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/67126/11821/241113/67530/225887/66043/11946/67264/71679/16000/108099/13382/12861/11486/11949/74006/56421/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/67914/18648/15277/28080/14430/22273/11545/12862/67059,129,15,-0.5714544883195944
BP,GO:0009126,purine nucleoside monophosphate metabolic process,129/4747,255/19395,1.3464119651953263e-19,5.183686066002006e-17,3.410319780264478e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/11565/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/71207/11964/68197/11474/23917/229665/18640/66945/66414/12858/15452/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/108155/56012/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/67126/11821/241113/67530/225887/66043/11946/67264/71679/16000/108099/13382/12861/11486/11949/74006/56421/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/67914/18648/15277/28080/14430/22273/11545/12862/67059,129,16,-0.5714544883195944
BP,GO:0046034,ATP metabolic process,119/4747,229/19395,2.182653431992312e-19,7.90890890651332e-17,5.203229543758763e-17,98496/11637/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/11964/68197/11474/18640/66945/66414/12858/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/107197/108155/56012/16337/12857/66445/14751/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/67126/241113/67530/225887/66043/11946/67264/71679/16000/108099/13382/12861/11949/74006/56421/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/11958/15251/11966/83429/67267/12866/11977/67914/18648/15277/28080/14430/22273/11545/12862/67059,119,17,-0.35273781075132926
BP,GO:0006091,generation of precursor metabolites and energy,164/4747,360/19395,1.2240572148734098e-18,4.1889958020112244e-16,2.7559182907968585e-16,16846/110078/52331/12176/103988/70556/12865/66925/14683/12856/67472/66576/13808/20411/77559/20463/68943/102093/407785/20185/232493/56428/11430/68375/110094/19309/11652/22272/68202/75406/68197/320720/11474/53601/74185/18640/66945/15926/66414/12858/66218/11674/16002/11814/21991/66416/17449/11848/16548/18021/14297/170718/12499/12034/107197/108155/56012/13350/11364/16337/12857/66445/14751/11947/66152/20512/227197/72900/58805/66972/18293/12859/110095/19046/241113/67530/75597/225887/66043/66849/67876/67264/16000/108099/20656/13382/11522/12861/56421/12867/93757/17319/14635/52637/15289/269523/69181/17995/66383/71701/103172/18432/67041/72157/12028/20848/11651/226646/66592/225913/66072/14433/56451/17448/68015/14533/227731/21379/216805/105651/84682/20916/18605/78330/230075/102060/19164/11429/66148/68837/18706/15251/58200/66495/56717/67680/74114/19062/11428/68961/68267/67267/12866/11977/110446/14194/18747/606496/67914/20917/15929/18648/15277/28080/16195/14430/22273/68002/214579/12974/64384/12862/19045/69089,164,18,1.7617796125835141
BP,GO:0015980,energy derivation by oxidation of organic compounds,121/4747,240/19395,2.5708740103328718e-18,8.335044159816048e-16,5.483581684089505e-16,16846/110078/52331/12176/103988/66925/14683/67472/66576/20411/77559/68943/102093/407785/232493/56428/68375/110094/19309/11652/22272/68202/75406/68197/320720/11474/53601/74185/66945/15926/66414/12858/66218/16002/66416/17449/16548/18021/14297/170718/107197/11364/16337/12857/66445/66152/20512/227197/72900/66972/18293/12859/110095/19046/241113/67530/75597/225887/66043/66849/67876/67264/16000/108099/20656/13382/12861/12867/93757/52637/15289/269523/69181/17995/66383/71701/18432/72157/12028/11651/226646/66072/56451/17448/68015/14533/227731/21379/216805/105651/84682/20916/18605/78330/230075/11429/66148/18706/15251/58200/56717/67680/19062/11428/68961/68267/14194/18747/606496/67914/20917/15929/16195/22273/68002/214579/12974/64384/12862/19045/69089,121,19,0.43312457702698676
BP,GO:0044403,symbiont process,151/4747,328/19395,8.916082838242548e-18,2.7461535141787047e-15,1.8066799435386218e-15,16149/236573/14469/13857/12389/100702/58185/12390/13030/20304/229900/20128/23962/20520/268373/21803/20723/242864/18552/13669/55932/100038882/14114/74244/54396/13858/21973/22320/12048/54198/56382/224020/11816/271457/66141/19205/16650/15944/98910/19878/12043/12774/225363/20516/671535/99375/66848/19182/18458/20181/19035/16337/22329/66482/13207/15161/66231/27681/14265/19349/15587/29869/26965/13138/78610/11836/20846/328572/23825/21974/68776/59004/331401/246730/73711/20817/56491/80743/21454/27354/78781/15510/18145/22670/66085/73158/269523/68184/19324/18571/13205/14268/18128/13830/21849/53817/12028/230908/15894/67955/14433/16647/66201/17951/216238/20853/19358/23961/13194/18563/270096/80287/75339/75608/433759/80385/16852/22196/208092/19766/100317/19062/68441/66700/109333/27979/69550/53413/13006/98415/26362/11826/66354/24088/20778/14349/20823/12306/67655/223691/12018/26424/23983/72179/116733/72949/24014/12767/228607/20479/66949,151,20,3.2466094969066934
BP,GO:0071417,cellular response to organonitrogen compound,190/4747,448/19395,2.7799185787921417e-17,8.154427831123615e-15,5.36475515205501e-15,16846/98496/17390/21853/14600/67043/16362/22352/13649/17260/103988/12389/329934/12390/70556/18578/56458/12491/18053/107351/18708/14683/22095/69638/26379/11606/12286/18212/20191/16011/20411/216443/107746/19247/14245/56041/56876/107508/11622/21898/11652/12048/19303/83409/15387/12567/11789/76854/235344/56484/22222/19878/72508/22628/54170/12825/16002/18576/238871/16535/16971/12568/16332/110147/229709/217124/216190/320706/52076/16369/18710/104215/108155/230796/12369/16337/18759/11747/22329/17913/67579/66096/12295/26413/12385/224826/12334/56017/22608/20846/19877/245670/21974/13688/12928/16000/17973/19090/20913/381290/74143/329877/58994/231207/19141/22724/71660/73158/14678/20528/19653/210789/19211/12702/20848/11651/107045/18607/15894/50933/238161/54635/109241/72674/22318/16210/12843/12322/16401/71785/76089/432442/232339/19262/13685/18011/18604/16324/18605/17918/19164/14130/20588/20425/14390/14784/20787/16440/18709/66437/56717/18534/237542/64383/19062/18764/56436/12703/14083/11977/68441/606496/98415/20850/11826/24088/107607/16439/20377/74370/224008/11450/98402/20852/19016/11545/76709/50915/19325/215449/11472/110893/64899/11461/12387/51788/64898/56692/21417/65019,190,21,5.893570837377784
BP,GO:0072594,establishment of protein localization to organelle,162/4747,364/19395,3.037048728418076e-17,8.503736439570613e-15,5.59456344708593e-15,16846/17472/238276/12575/56398/16649/227699/66525/12491/14276/18708/11426/21803/240055/11606/77938/54673/71175/20191/73078/68943/19386/56428/30056/21855/76976/16650/230895/68512/240614/233726/56273/223696/226407/66212/19055/24067/218210/216190/445007/15525/98732/12034/53333/66887/105782/13207/56322/224824/17999/30055/226432/230673/16211/27681/19428/19349/56338/26413/18633/269113/21687/271564/15587/12462/70478/76219/67067/75788/68653/67184/67384/320528/16784/14828/54128/66541/432486/66865/76582/66661/67713/28084/21454/227720/93757/15510/68845/75219/15519/12461/18969/11983/15505/69821/21849/12028/20848/11651/107045/12514/11776/230908/27058/67437/56330/218441/68051/16647/21856/11774/110750/213990/12469/11600/68818/19164/66148/18015/19052/16646/53600/81896/75608/212999/20787/52348/18709/66437/107939/217337/66169/70790/19302/16648/218544/108989/606496/17113/320938/18760/69482/15277/108705/12177/56495/668173/224008/170731/57743/19325/16783/75734/15502/69276/116733/11865/75669/228607/69089/69923/67952,162,22,4.350948307404826
BP,GO:0090407,organophosphate biosynthetic process,201/4747,485/19395,6.546620352115667e-17,1.7533557116970656e-14,1.1535234945375432e-14,98496/433256/223646/70456/11637/14792/103988/208449/240752/100705/23962/71743/27388/21803/228033/16592/54673/13808/226856/11565/212862/18127/20185/12651/116939/56428/69564/66586/14933/56248/59027/12048/66268/57423/80914/22247/67292/12709/76854/68197/77582/11474/23917/229665/218442/18640/15926/110524/27402/15452/11674/21991/106564/67512/56176/21881/16332/56442/16548/11636/109674/12499/52076/67054/107197/108155/79059/56012/16337/18126/108147/18041/66445/14751/11534/52815/11947/14923/58805/321007/18293/12859/14381/27425/19229/382985/26413/11957/268566/433931/110095/104111/230801/67469/67126/11821/75735/241113/216739/110074/12334/66043/327655/11946/22169/192185/71679/84095/246730/16000/108099/224860/13382/85305/11486/11949/20280/56421/71780/17319/14635/12660/66459/104110/269523/269614/74055/11517/104112/18590/13480/20848/66454/66592/225913/19015/14433/28169/56451/14712/55936/74596/18591/68563/216805/74451/55951/15360/68680/18604/51797/18798/19164/18563/68837/20425/18706/11958/15251/228859/225326/66588/14081/15212/72469/276846/74205/13026/237336/665563/110446/21915/18700/99010/228026/12715/68087/16475/18648/20133/15277/28080/14755/319945/27399/18704/14173/19210/68671/23972/14430/67556/11545/233575/76722/60525/17434/18797/230103/17855/208715,201,23,2.5858065975082734
BP,GO:0001525,angiogenesis,204/4747,496/19395,1.0148128954142605e-16,2.604686431563269e-14,1.713609494449519e-14,20315/83964/23796/64074/53417/13388/16846/57342/17390/66214/30878/16952/12772/20866/67784/23871/12837/18606/21846/672511/17304/12389/21838/12822/15530/84004/20304/21944/231532/19242/12491/353156/18053/69903/56332/20292/20358/13179/11606/14824/22339/11518/21808/68545/18127/21813/11622/19303/80837/20351/11350/14991/239528/19878/68833/20620/69601/21413/57875/16002/15258/18576/58231/54409/17286/22379/20356/14367/12562/319197/21928/11848/18021/20181/18792/18710/74838/192197/12490/101401/13078/68585/100038489/121021/14645/11947/70097/68792/19229/21687/13722/18596/27279/18741/16451/105844/56233/13846/20846/19877/75723/22375/18132/13601/11852/66549/21390/20817/11489/51801/14089/57257/66864/12922/230126/235626/21825/14886/15289/68465/22418/20692/338366/18590/19211/14268/18128/13617/20317/109901/20848/11651/14461/18607/105450/269831/11490/94192/13713/11504/12509/13805/13819/216805/56208/13666/228852/192187/20672/24071/11600/100952/16790/18015/20296/18706/60611/226841/22341/15251/22344/14182/16854/79264/14066/229700/67154/21826/18709/13051/16412/12273/20293/56089/72469/69219/19664/14083/109254/22346/50785/20927/236511/22325/18760/13642/11826/12394/15277/19274/237759/242687/18704/14173/12306/16542/19016/432940/12767/12387/19108/18131/12540/14254,204,24,1.9599157740244455
