ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,rank,zscore
BP,GO:0042176,regulation of protein catabolic process,136/3993,372/19395,5.457765401561351e-13,3.0340214027770596e-10,2.219665354701985e-10,21858/242960/13121/20620/217410/22213/66725/13649/110595/59029/56228/12389/18023/20671/18126/71999/231672/108155/11865/15258/330863/75744/13032/11816/18673/14466/12328/214254/20333/16835/99375/23806/381629/20128/26420/17248/19684/242669/75234/269608/19165/15216/12398/231600/24086/65114/67025/76892/59025/66753/69601/68098/114128/13636/15519/20720/100494/84092/218215/27373/230598/21944/17846/217379/26419/30945/18245/22225/192193/20588/79263/233900/19229/26903/64209/68545/55988/14775/223870/20660/93960/216157/108089/235406/56736/23988/20610/71472/19358/116891/270627/19164/70797/19349/103573/19188/52892/56458/53323/77128/66498/22346/19359/110616/12520/18763/21762/19192/75788/66313/72345/224727/252870/57320/21857/70247/19052/77006/65113/19186/54375/11502/269523/13194/100503670/219158/93739/67267/74374/11651/57438/56440/11789/19697/107568/269473,136,10.5,5.868986283848344
BP,GO:0016050,vesicle organization,100/3993,248/19395,8.339504601886678e-13,4.249672553378086e-10,3.109025838422665e-10,20661/56491/235633/99683/69162/13852/56041/66508/110379/20971/56216/338366/13447/67727/20333/227648/26554/210789/69608/68581/84095/20194/67474/16952/107338/66629/19376/23790/11826/66397/22317/19205/17101/20909/102607/235627/99371/231070/74741/18571/114128/214585/20720/84092/56494/11774/20908/330401/104015/12721/11776/15463/74349/235567/22318/67844/26903/209018/192232/18412/80743/20619/235406/89867/231570/103967/77371/78610/72287/217517/12068/11652/19349/18472/14679/20334/13429/320191/18439/11773/54137/19344/30960/207352/226421/24136/70772/213211/218035/116870/545192/17274/53869/50907/13430/58244/18457/12912/11840/225326,100,12,2.492241482207092
BP,GO:0006732,coenzyme metabolic process,121/3993,324/19395,1.9896947623416047e-12,9.071544357271042e-10,6.636667989568694e-10,11674/14433/107747/192166/14104/14381/110208/27273/68603/15483/104112/67493/14261/60525/74340/192156/53320/21991/12409/59027/108155/21351/14873/109129/17436/70456/14081/14635/55990/18746/14751/107476/17769/269951/17448/56428/27402/78920/232087/14431/18648/56451/18641/56075/52538/58810/320717/319801/266690/56738/12398/66885/72106/19017/18597/16828/235339/108156/18640/229709/16000/107029/192185/20185/18655/56360/54683/228026/17449/54391/20916/56421/18537/66646/100705/67800/21881/170789/13382/71147/67528/67914/16548/19164/17319/236900/13350/108099/110119/223646/72141/18439/208715/171282/170718/108079/104158/15277/18604/14555/15929/68837/17425/68087/106564/269523/71883/107766/20848/14528/19895/15488/12499/269614/70025/56857/108645/12974/67834/16969/269378,121,13.5,8.961538461538462
BP,GO:0010608,posttranscriptional regulation of gene expression,147/3993,418/19395,2.0768866885003204e-12,9.071544357271042e-10,6.636667989568694e-10,14433/69635/13665/13982/67493/227682/69956/13649/26987/231207/12389/19401/13684/20430/230753/217980/108954/72201/80912/19045/103677/108989/101543/22339/107508/11727/230908/224045/56717/230861/76936/106205/17454/19205/19766/22608/208643/16589/74326/56335/12696/68943/15388/232791/56347/231386/213753/56403/72508/100121/83701/105638/16000/209354/116905/53817/12261/234384/208922/66084/67579/22352/20185/230721/66399/80913/66704/26413/19229/230709/20602/328572/14538/239528/59092/14359/21379/53422/28146/17975/52477/276770/83485/17347/70207/76850/13078/13690/18750/73158/51810/12785/11652/117149/53379/56484/17872/26396/71787/11792/17257/234734/226982/217715/77134/13418/18148/216766/15467/11991/16341/229317/14151/68966/78913/13207/26908/53872/12317/217351/18033/18983/20848/211948/56055/100503670/112403/20218/67228/22431/433702/26905/67843/100037258/16549/227331/67267/18626/69163/12567/11651/192170/207214/67070/211064/78796/192160,147,13.5,3.3916962723103024
BP,GO:0009259,ribonucleotide metabolic process,145/3993,411/19395,2.227485564067715e-12,9.080716149516052e-10,6.643377998096695e-10,11674/14433/14104/27273/18103/68603/104112/66725/60525/192156/21991/98660/67054/66945/108155/11717/55936/11949/70456/14081/14635/18746/230103/14751/107476/56248/56428/27402/18648/56451/227731/18641/52538/227197/319801/80914/56738/12398/66885/74006/72106/19017/18597/19139/16828/68943/235339/19384/270166/18640/226646/66592/16000/67059/15481/53893/74167/20185/26430/18655/72900/56360/216805/84682/18950/228026/271639/54391/20916/105446/56421/331487/11947/11545/66588/68550/74143/100705/225887/67800/71679/28080/12859/66826/170789/13382/71147/67528/67914/18573/12015/79059/16548/22247/11564/19164/17319/236900/66445/13350/14679/108099/110119/19883/72141/17257/18439/208715/171282/98496/12857/108079/51797/104158/15277/18604/14555/57320/68837/17995/66072/17425/68087/106564/11946/13063/269523/18585/22272/20848/211948/66043/15488/12499/56749/67414/269614/70025/67267/11964/12974/16434/11957/16969/12867,145,15,6.452738302707582
BP,GO:0034248,regulation of cellular amide metabolic process,131/3993,361/19395,2.689836362269413e-12,1.0280218347048412e-9,7.520924039240135e-10,14433/69635/27273/13665/56177/15483/67493/227682/69956/26987/231207/19401/13684/20430/217980/108954/72201/11816/80912/19045/108989/58994/68581/107508/11727/224045/56717/18648/230861/319801/17454/19205/208643/16589/74326/56335/12696/68943/15979/15388/232791/56347/13636/213753/56403/72508/105638/16000/27373/209354/116905/53817/12261/234384/208922/66084/67579/22352/66399/80913/66704/228026/26413/19229/328572/20660/239528/14359/53422/28146/17975/276770/83485/17347/70207/23988/76850/13078/13690/18750/73158/12785/11652/236900/18024/56484/17872/71787/234734/226982/217715/13418/18148/216766/15467/11991/16341/229317/18604/14151/68966/78913/26908/53872/257632/12317/217351/18983/20848/56055/100503670/20218/67228/22431/433702/26905/67843/53357/100037258/16549/227331/67267/18626/12567/11651/192170/207214/67070/211064/78796/192160,131,16,5.393705575844429
BP,GO:0005996,monosaccharide metabolic process,98/3993,246/19395,3.2976827951123175e-12,1.1861958995359896e-9,8.678112618716625e-10,16009/11674/14433/14381/110208/27273/18563/21991/12409/18023/16010/108155/20869/16846/14873/217166/17158/384783/16332/19045/14635/18746/74343/11364/14751/59046/56717/18641/71665/58810/319801/19885/80915/14783/18597/73744/16828/20411/235339/18640/29858/18534/18706/21416/16592/16000/16973/18708/93759/53893/15289/75578/18655/77590/228026/228966/230709/328572/22278/28146/56421/66646/19062/80294/100705/67800/26416/11677/12015/12091/381694/16548/11652/14534/16002/236900/56458/94284/110119/19883/72141/140484/15277/18604/14555/68837/17425/13194/17159/19895/20322/58246/140481/59090/11651/67078/69064/67013,98,17,2.271797074323025
BP,GO:0019318,hexose metabolic process,89/3993,216/19395,3.6262958518723605e-12,1.2319332852333048e-9,9.012723608454697e-10,16009/11674/14433/14381/27273/18563/21991/12409/18023/16010/108155/20869/16846/217166/17158/384783/16332/19045/14635/18746/74343/11364/14751/59046/56717/18641/71665/319801/19885/80915/14783/18597/73744/16828/20411/235339/18640/29858/18534/18706/21416/16592/16000/16973/18708/93759/15289/18655/77590/228026/228966/230709/328572/22278/28146/56421/19062/80294/100705/67800/26416/12015/12091/381694/16548/11652/14534/16002/236900/56458/110119/19883/72141/140484/15277/18604/14555/68837/17425/13194/17159/20322/58246/140481/59090/11651/67078/69064/67013,89,18,1.9906827984171398
BP,GO:1903311,regulation of mRNA metabolic process,96/3993,242/19395,7.296731138017617e-12,2.348395310998828e-9,1.7180668884529014e-9,11758/235497/19655/18772/67493/107951/20384/20637/230753/80912/20926/60532/22339/20658/57317/230908/56717/110809/71169/20817/28000/76936/101214/17454/19205/224903/22608/18789/56758/432508/74326/56335/12696/76938/15388/231386/71701/22083/229709/56403/231769/83486/67040/15481/15387/18458/12261/208922/22352/230721/20383/20382/80913/66704/233900/239528/59092/225027/14359/21379/53422/20815/52477/20462/67996/73158/51810/73473/68675/117149/53379/14007/107817/224902/110532/269061/78781/11792/67039/77134/18148/13548/11991/108014/13207/217351/18983/211948/20218/12537/433702/16549/227331/192170/16969/60365,96,19,-1.8631770102243566
BP,GO:0006790,sulfur compound metabolic process,102/3993,266/19395,1.7818335881601492e-11,5.4479561957996566e-9,3.985680394568755e-9,14859/14872/13479/14104/14381/27273/68603/104112/67493/60525/50887/74340/192156/54486/14871/20887/66881/18023/75475/22021/12846/70456/14081/26426/103140/107476/17769/56615/14600/22117/625249/66902/60322/27402/232087/74316/14431/56451/94214/14854/52538/67096/20656/30926/66885/319901/26887/18597/217119/235339/108156/14651/229709/240725/56360/228026/72199/14775/20916/12583/18537/100705/11600/67800/107869/56748/170789/13382/71147/67528/269941/268780/59031/236900/18024/234356/13350/58250/211666/104184/208715/23908/26425/171282/104158/18604/74241/57320/106564/74008/14862/15488/104923/212898/70025/14630/108645/12974/12111/22022/20655/269378,102,20,5.0771820705759385
BP,GO:0034976,response to endoplasmic reticulum stress,92/3993,232/19395,2.0312970271657536e-11,5.914943486246945e-9,4.327324493962132e-9,110213/13665/56491/22213/66725/68292/67890/26926/56228/12389/18023/18858/226641/75744/108954/227648/20338/67163/224045/67878/11687/76892/59025/66753/69601/12282/67397/218544/67118/18708/68018/93759/104771/16151/12018/12125/192193/64209/68944/328572/26754/216157/28146/74143/66663/70231/68366/50527/320011/67089/66967/71472/11993/50762/116891/14828/18024/17872/53323/76577/26408/77128/14130/110616/74126/18453/140630/12913/70604/223455/52377/224727/26427/57320/76299/77006/64136/20316/12317/269523/217069/27368/53357/217734/12371/16476/100037258/66155/67812/12915/67604/63958,92,21,7.492437680147352
BP,GO:0006091,generation of precursor metabolites and energy,128/3993,360/19395,2.3801400084973377e-11,6.6157073418005545e-9,4.839997624934778e-9,11674/14433/77559/102093/53412/15925/21991/74185/66945/108155/16846/217166/66841/384783/19045/14635/18746/11364/14751/14387/269951/17448/56428/78920/56717/18648/56451/227731/18641/227197/319801/266690/20656/11430/12398/14783/72106/19017/18597/16828/68943/20411/235339/71701/18640/18706/226646/66592/21416/14194/16000/11689/15289/20185/18655/72900/216805/110095/84682/27357/228966/18682/17449/20916/11429/21379/56421/11947/68550/12421/19062/225887/11522/28080/12859/66826/13382/67914/16548/11652/11564/19164/16002/17319/66445/13350/66494/108099/110119/72141/17257/18439/66849/18021/12857/170718/108079/15277/17993/14555/15929/57320/68837/17995/66072/380601/17425/13063/269523/216558/70383/22272/20848/211948/66043/12499/12034/18432/56857/14683/67267/12176/12974/11651/53601/67834/16969/12867,128,22,5.139388736310435
BP,GO:0001525,angiogenesis,164/3993,496/19395,3.359778908161217e-11,8.932629575393844e-9,6.535039066217471e-9,101401/20315/20866/23796/353156/13388/15507/69903/53417/20620/12826/21846/12827/14991/13601/67888/18606/320924/12389/20671/20304/21813/12822/18595/15258/16846/56233/672511/11489/338366/54409/101540/18746/18613/11504/23871/22339/12767/11606/11727/52679/319197/58231/12766/21413/15242/20817/16952/11490/17125/11518/235626/15945/11826/74144/20358/13805/57342/20672/75723/72106/21349/14066/15901/12491/22379/67154/69601/20692/19223/13713/13636/68585/231532/14164/15184/18706/13844/240725/21944/17286/93759/28106/14268/15289/71690/223864/18655/216805/18803/16790/60611/11622/74838/16411/19229/26903/17129/68545/56208/14775/239528/93840/66864/11350/105844/14886/11947/17975/56426/79264/13854/18187/16451/11600/121021/26416/13614/13078/14182/18750/13846/16412/16410/16002/12772/192187/18024/107817/22346/19883/17257/53614/30878/18021/140484/22375/17268/15277/26427/15234/20193/19058/12778/56221/14172/20848/330171/24071/22344/20846/270190/381823/18129/16476/14645/12274/16480/11651/12394/11852/17304/13845/19303,164,23,1.841952096110665
BP,GO:0006397,mRNA processing,147/3993,433/19395,4.169723623339616e-11,1.062410831530073e-8,7.772511139997093e-9,11758/235497/19655/81898/68272/227682/71514/107951/22258/20384/20637/18949/230753/72587/101471/192196/20926/60532/20658/57317/20646/230908/74213/67197/20624/110809/20817/24018/28000/76936/101214/75956/27374/19205/224903/22608/224836/18789/56758/214572/432508/68188/56335/12696/74320/76938/331401/15388/231386/71701/22083/229709/66921/56403/74044/231769/67440/83701/98758/83486/67040/15481/54196/15387/18458/54614/53817/12261/208922/320632/59013/67755/20383/20382/66704/233900/22668/19647/70650/70601/59092/225027/21379/20815/27366/54194/14300/67684/20462/76265/217207/66978/76167/67996/72290/53607/51810/73473/51796/68675/170791/53379/14007/107817/224902/110532/269061/19134/69269/28035/68988/67039/192159/18148/107829/68183/216766/13548/74737/53317/108014/13207/20901/51786/380601/68278/70470/328110/11834/229279/211948/54723/67225/20218/219158/12537/67836/433702/16549/20639/21681/192170/20227/234373/16969/60365/192160,147,24,-3.3607371892853424
BP,GO:1903362,regulation of cellular protein catabolic process,91/3993,234/19395,9.00726048063095e-11,2.1702162784395347e-8,1.5877125589995308e-8,242960/20620/217410/22213/66725/59029/56228/12389/18023/71999/231672/108155/15258/330863/75744/13032/11816/14466/12328/214254/16835/23806/381629/26420/19684/75234/19165/15216/12398/231600/24086/65114/67025/76892/59025/66753/69601/68098/114128/13636/15519/100494/218215/27373/17846/26419/30945/22225/192193/20588/79263/233900/19229/64209/68545/14775/223870/216157/108089/56736/20610/71472/19358/116891/270627/19164/70797/19188/52892/53323/66498/19359/110616/12520/18763/19192/75788/72345/224727/252870/57320/77006/19186/269523/100503670/219158/93739/67267/74374/11651/57438,91,26,5.453601357295755
BP,GO:0006914,autophagy,130/3993,374/19395,9.582312267844225e-11,2.1702162784395347e-8,1.5877125589995308e-8,69635/110213/15944/52639/69903/20620/110147/76308/66725/18858/59027/60440/20869/16846/75744/244962/68728/14466/210376/140742/67727/20333/94178/76681/192652/20128/67474/13033/56717/66320/76983/319801/320528/11975/67526/74006/208643/68943/217893/67154/54396/230895/211134/67841/18786/15481/78246/217695/217379/20787/76559/93759/15289/98732/16151/107607/12125/216805/68441/230709/56208/100502841/71712/74302/171543/22224/67839/11350/18412/74140/13663/80743/27060/11596/12421/51897/56048/72344/13690/78610/72287/73158/233979/11750/19164/19349/56458/56484/14679/16784/54636/56367/55978/75788/79554/18718/108079/68118/15277/17168/170822/57320/68837/107045/72175/17425/108083/257632/271564/17966/218035/269523/17274/22333/20848/75669/11920/54170/29869/93739/12176/18475/67300/74374/21425/11651/245860/225326/70381/100855,130,26,3.752393871932282
BP,GO:0061919,process utilizing autophagic mechanism,130/3993,374/19395,9.582312267844225e-11,2.1702162784395347e-8,1.5877125589995308e-8,69635/110213/15944/52639/69903/20620/110147/76308/66725/18858/59027/60440/20869/16846/75744/244962/68728/14466/210376/140742/67727/20333/94178/76681/192652/20128/67474/13033/56717/66320/76983/319801/320528/11975/67526/74006/208643/68943/217893/67154/54396/230895/211134/67841/18786/15481/78246/217695/217379/20787/76559/93759/15289/98732/16151/107607/12125/216805/68441/230709/56208/100502841/71712/74302/171543/22224/67839/11350/18412/74140/13663/80743/27060/11596/12421/51897/56048/72344/13690/78610/72287/73158/233979/11750/19164/19349/56458/56484/14679/16784/54636/56367/55978/75788/79554/18718/108079/68118/15277/17168/170822/57320/68837/107045/72175/17425/108083/257632/271564/17966/218035/269523/17274/22333/20848/75669/11920/54170/29869/93739/12176/18475/67300/74374/21425/11651/245860/225326/70381/100855,130,26,3.752393871932282
BP,GO:0043254,regulation of protein complex assembly,147/3993,438/19395,1.0667461743573241e-10,2.3296974486410846e-8,1.704387684593469e-8,69903/229898/12955/13982/101706/99683/15925/12389/327959/108903/101497/18481/22334/75744/80880/20430/11816/56699/14466/72587/56216/50918/243725/225849/18613/22339/56430/20257/59030/20128/15161/17392/230101/26420/56717/23789/19684/666048/55985/11518/23996/66397/11687/19165/11867/215351/74006/65114/231070/208643/67886/21349/110157/71769/19247/12491/68943/20742/54396/23897/69601/15519/26401/19241/106298/381280/26419/234839/12721/13589/63985/12125/383619/16911/11622/68089/17130/19182/20740/19229/329679/12124/100732/328572/103425/20660/171543/11350/20393/17295/80743/66878/50884/242894/14544/11545/78808/20239/13854/207495/18693/19240/67089/20741/217517/19353/13169/23881/14784/21343/16784/19181/50876/107351/17257/79554/12340/12343/14489/233871/108079/13548/54343/22375/76499/13494/15894/14086/21749/56221/218035/269523/72567/54723/75739/13717/68166/11920/16476/50907/71902/67771/12912/11840/14102/11789/19230,147,28,4.004846202221538
BP,GO:0009150,purine ribonucleotide metabolic process,137/3993,401/19395,1.172872768711623e-10,2.4731437864384737e-8,1.809331857359128e-8,11674/14433/14104/27273/18103/68603/104112/66725/60525/192156/21991/98660/67054/66945/108155/11717/11949/70456/14081/14635/18746/230103/14751/107476/56248/56428/27402/18648/56451/227731/18641/52538/227197/319801/56738/12398/66885/74006/72106/19017/18597/19139/16828/68943/235339/19384/270166/18640/226646/66592/16000/67059/15481/53893/74167/20185/26430/18655/72900/56360/216805/84682/18950/228026/271639/20916/105446/56421/11947/11545/68550/74143/100705/225887/67800/71679/28080/12859/66826/170789/13382/71147/67528/67914/18573/12015/79059/16548/11564/19164/17319/236900/66445/13350/14679/108099/110119/19883/72141/17257/18439/208715/171282/98496/12857/108079/104158/15277/18604/14555/57320/68837/17995/66072/17425/68087/106564/11946/13063/269523/18585/22272/20848/211948/66043/15488/12499/67414/269614/70025/67267/11964/12974/16434/11957/16969/12867,137,29,6.309263378100535
