TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	728	1207	4581	10216	1327	0.00455	7710	0.00425	9.498	19.669
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	849	1086	5481	9316	1607	0.00477	9352	0.00447	9.496	19.296
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	1501	434	10808	3989	7244	0.0165	43471	0.016	9.459	11.591
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	1029	906	6642	8155	2400	0.00548	14042	0.00516	9.349	26.295
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	690	1245	4400	10397	1206	0.00331	6950	0.00307	9.077	16.313
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	1773	162	13200	1597	22219	0.0304	135017	0.0298	8.278	7.664
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	1248	687	8494	6303	3725	0.00851	22200	0.00816	8.091	20.538
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	210	1725	1225	13572	260	0.00119	1446	0.00106	7.999	8.947
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	1561	374	11317	3480	8440	0.0154	50900	0.015	7.829	11.031
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	468	1467	2887	11910	660	0.00166	3762	0.00152	7.357	13.590
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	1577	358	11330	3467	9518	0.013	57420	0.0127	7.112	14.684
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	783	1152	4959	9838	1470	0.00369	8657	0.0035	6.835	20.542
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.740	0.657	1293	642	8945	5852	4944	0.00903	29695	0.00873	6.786	17.378
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	172	1763	1017	13780	200	0.000914	1117	0.000821	6.746	6.984
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	806	1129	5141	9656	1367	0.00281	8010	0.00265	6.518	20.072
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	334	1601	2058	12739	457	0.00157	2627	0.00145	6.448	9.715
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.640	0.435	1699	236	12429	2368	12535	0.02	76328	0.0196	6.064	12.249
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	1027	908	6782	8015	2421	0.00553	14475	0.00532	6.011	20.570
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	1658	277	12034	2763	10268	0.0188	62494	0.0184	6.001	13.853
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	1567	368	11291	3506	8204	0.0206	49998	0.0202	5.895	13.275
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	877	1058	5662	9135	1688	0.00386	10036	0.00369	5.744	20.243
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	217	1718	1273	13524	262	0.000838	1482	0.000763	5.688	8.923
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	1140	795	7718	7079	2787	0.007	16784	0.00679	5.501	18.302
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	873	1062	5703	9094	1729	0.00434	10330	0.00418	5.425	17.834
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	1641	294	12263	2534	12093	0.0249	73962	0.0245	5.297	4.072
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	953	982	6265	8532	2147	0.00392	12831	0.00377	5.117	19.091
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	1501	434	10870	3927	7257	0.0166	44256	0.0163	5.095	9.927
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	75	1860	431	14366	83	0.000417	458	0.00037	5.066	4.262
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	1514	421	10819	3978	7592	0.0139	46236	0.0136	4.992	14.405
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	35	1900	178	14619	35	0.000144	179	0.000118	4.874	3.899
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	893	1042	5831	8966	1863	0.00255	11068	0.00244	4.750	18.542
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	1184	751	8097	6700	3451	0.00946	20962	0.00925	4.647	17.126
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	140	1795	820	13977	158	0.000505	897	0.000462	4.240	6.216
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	1004	931	6591	8206	2107	0.00481	12732	0.00468	4.061	21.133
Esrrb	MA0141.1	Zinc-coordinating      	Hormone-nuclear Receptor	vertebrates	12.806	0.524	1233	702	8566	6231	3590	0.00984	21907	0.00966	3.780	14.555
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	1737	198	12858	1939	14689	0.0302	90367	0.0299	3.693	8.783
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.610	280	1655	1687	13110	333	0.000761	1942	0.000714	3.655	9.574
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	316	1619	1939	12858	384	0.00158	2299	0.00152	3.089	9.490
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	12	1923	62	14735	12	5.48e-05	62	4.56e-05	2.828	1.948
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.290	0.643	1153	782	7745	7052	2944	0.00471	18047	0.00464	1.950	20.755
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	709	1226	4779	10018	1243	0.00454	7635	0.00449	1.632	9.427
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.510	1774	161	13250	1547	20921	0.0287	129463	0.0286	1.489	6.417
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	653	1282	4218	10579	1039	0.00285	6398	0.00282	1.009	13.504
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	239	1696	1521	13276	290	0.000729	1770	0.000716	1.004	5.683
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.280	228	1707	1414	13383	269	0.00086	1650	0.000849	0.788	6.582
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	456	1479	2879	11918	618	0.00198	3812	0.00196	0.681	11.017
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	1174	761	7973	6824	2960	0.00676	18330	0.00674	0.591	18.590
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	695	1240	4685	10112	1187	0.00298	7349	0.00297	0.414	9.193
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	488	1447	3214	11583	685	0.00219	4254	0.00219	0.053	8.052
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	116	1819	703	14094	122	0.000334	758	0.000334	-0.008	4.475
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	150	1785	919	13878	161	0.000515	1002	0.000516	-0.085	5.087
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	46	1889	283	14514	46	0.00021	290	0.000213	-0.455	2.308
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	772	1163	5298	9499	1636	0.00411	10202	0.00412	-0.480	8.282
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	343	1592	2281	12516	497	0.0017	3124	0.00172	-0.999	5.264
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	645	1290	4448	10349	1108	0.00304	6945	0.00306	-1.006	6.277
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	1621	314	11926	2871	11037	0.0176	69019	0.0178	-1.780	7.878
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.530	185	1750	1212	13585	208	0.00095	1332	0.000979	-1.951	3.733
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	750	1185	4950	9847	1330	0.00365	8395	0.0037	-1.987	12.918
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	56	1879	375	14422	57	0.000195	383	0.000211	-2.304	1.647
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	642	1293	4298	10499	1050	0.00288	6662	0.00294	-2.347	9.086
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	1052	883	7592	7205	2519	0.0046	15915	0.00468	-2.367	5.109
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	15	1920	106	14691	15	5.82e-05	108	6.75e-05	-2.383	0.847
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	1	1934	11	14786	1	4.57e-06	11	8.09e-06	-2.673	0.260
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.190	0.424	1042	893	7272	7525	2416	0.00552	15298	0.00562	-2.937	9.818
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	800	1135	5532	9265	1528	0.00244	9775	0.00252	-3.016	7.764
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	1551	384	11201	3596	7827	0.0161	49235	0.0163	-3.276	12.014
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.070	0.453	871	1064	5853	8944	1614	0.00442	10281	0.00453	-3.462	12.871
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	9	1926	69	14728	9	6.17e-05	69	7.61e-05	-3.486	0.588
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	463	1472	3162	11635	692	0.00221	4469	0.0023	-3.803	5.132
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	19	1916	138	14659	19	9.11e-05	143	0.00011	-3.856	0.791
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	1730	205	12784	2013	14145	0.0226	89329	0.023	-5.151	9.241
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	745	1190	5085	9712	1225	0.0042	7973	0.0044	-6.298	8.534
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	743	1192	5384	9413	1562	0.00357	10210	0.00375	-6.342	3.110
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	1332	603	9648	5149	4823	0.00991	30976	0.0102	-6.919	7.144
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	1494	441	10952	3845	7320	0.0184	46610	0.0188	-6.996	6.703
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	1451	484	10710	4087	7090	0.013	45371	0.0133	-7.051	4.829
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	1348	587	9588	5209	4872	0.0134	31176	0.0138	-7.149	11.414
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.310	440	1495	3088	11709	645	0.00177	4379	0.00193	-7.805	3.451
Tal1::Gata1	MA0140.1	Zipper-Type 	Helix-Loop-Helix	vertebrates	11.297	0.451	750	1185	5136	9661	1280	0.00526	8401	0.00556	-8.331	8.229
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	421	1514	3116	11681	677	0.00186	4619	0.00204	-8.442	1.394
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	289	1646	2145	12652	397	0.00127	2766	0.00142	-8.548	1.160
CTCF	MA0139.1	Zinc-coordinating 	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	342	1593	2434	12363	422	0.00183	2890	0.00202	-8.723	2.381
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	273	1662	1915	12882	334	0.00137	2328	0.00154	-8.922	2.497
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	1418	517	10690	4107	7528	0.012	48651	0.0125	-9.071	1.739
Gata1	MA0035.2	Zinc-coordinating 	GATA	vertebrates	10.878	0.373	1583	352	11548	3249	8961	0.0225	57314	0.0232	-9.174	9.626
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	1542	393	11191	3606	7934	0.0145	51144	0.015	-9.319	10.227
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	1338	597	9772	5025	5315	0.0146	34408	0.0152	-10.428	5.694
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	1292	643	9364	5433	4908	0.0135	31841	0.014	-10.537	6.572
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.470	0.391	1460	475	10893	3904	7123	0.0163	46043	0.0169	-10.624	3.125
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	555	1380	4137	10660	1095	0.00325	7442	0.00356	-10.716	1.345
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	1434	501	10643	4154	7501	0.012	48877	0.0126	-10.952	3.775
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.070	0.202	893	1042	6412	8385	2153	0.00541	14389	0.00582	-11.244	4.593
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.260	1456	479	10739	4058	7891	0.0144	51285	0.0151	-11.367	5.009
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	1787	148	13424	1373	22076	0.0403	141103	0.0415	-12.111	4.656
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	1371	564	10157	4640	5641	0.0116	37126	0.0123	-13.033	3.681
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	1171	764	8575	6222	3630	0.0124	23886	0.0132	-13.457	4.104
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	1592	343	11867	2930	10901	0.0224	70676	0.0234	-13.461	4.153
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	1566	369	11742	3055	11721	0.0134	77555	0.0143	-15.321	2.891
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.040	0.194	1633	302	12182	2615	13899	0.019	91138	0.0201	-15.689	4.384
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.270	0.218	1748	187	13097	1700	20412	0.0326	133029	0.0342	-18.333	4.763
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	1670	265	12611	2186	16057	0.022	106713	0.0235	-21.116	2.214
