target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction,Category
ENSMUST00000020885.12,ENSMUSG00000020570,Sypl,Sypl-002,1.6316422361585774,4.461447729892448e-9,Up,NA
ENSMUST00000033050.4,ENSMUSG00000030787,Lyve1,Lyve1-201,11.990377880032376,4.461447729892448e-9,Up,NA
ENSMUST00000034472.15,ENSMUSG00000031990,Jam3,Jam3-201,0.42376611031257344,4.529243424667273e-9,Down,NA
ENSMUST00000010451.7,ENSMUSG00000010307,Tmem86a,Tmem86a-201,0.30659800982470187,4.730061746369085e-9,Down,NA
ENSMUST00000084512.10,ENSMUSG00000065954,Tacc1,Tacc1-202,1.663631069428393,6.489341153863038e-9,Up,NA
ENSMUST00000020702.10,ENSMUSG00000020427,Igfbp3,Igfbp3-001,4.060666406170111,7.121025309547646e-9,Up,NA
ENSMUST00000165067.8,ENSMUSG00000035948,Acss3,Acss3-201,2.7059717481656334,7.572145820860931e-9,Up,NA
ENSMUST00000057019.8,ENSMUSG00000044338,Aplnr,Aplnr-001,0.09010558450019658,8.706876886269715e-9,Down,NA
ENSMUST00000019962.14,ENSMUSG00000019818,Cd164,Cd164-001,1.7967279722888678,8.706876886269715e-9,Up,NA
ENSMUST00000047883.10,ENSMUSG00000037031,Tspan15,Tspan15-201,0.5196191645549093,8.706876886269715e-9,Down,NA
ENSMUST00000024660.8,ENSMUSG00000023886,Smoc2,Smoc2-201,0.43194579958867707,1.0503720344355216e-8,Down,NA
ENSMUST00000108492.8,ENSMUSG00000004328,Hif3a,Hif3a-002,8.63301672563501,1.0503720344355216e-8,Up,NA
ENSMUST00000068411.4,ENSMUSG00000021182,Ccdc88c,Ccdc88c-201,0.46163220819671374,1.327535454544309e-8,Down,NA
ENSMUST00000014917.7,ENSMUSG00000014773,Dll1,Dll1-001,0.2819190211557676,1.327535454544309e-8,Down,NA
ENSMUST00000190641.6,ENSMUSG00000038065,Mturn,Mturn-001,2.8603816988829496,1.474389697409297e-8,Up,NA
ENSMUST00000090070.5,ENSMUSG00000054435,Gimap4,Gimap4-006,0.49094825011110127,2.1923933273627982e-8,Down,NA
ENSMUST00000039413.14,ENSMUSG00000032177,Pde4a,Pde4a-001,0.5433934159946141,2.924366549733051e-8,Down,NA
ENSMUST00000031249.7,ENSMUSG00000029309,Sparcl1,Sparcl1-001,0.5637471304881577,2.9267483137930503e-8,Down,NA
ENSMUST00000099139.8,ENSMUSG00000040043,Rbms2,Rbms2-202,2.2022183097116845,2.9267483137930503e-8,Up,NA
ENSMUST00000084117.12,ENSMUSG00000028980,H6pd,H6pd-002,1.8268943263243995,3.6570482661718474e-8,Up,NA
ENSMUST00000038160.5,ENSMUSG00000036446,Lum,Lum-201,0.3691212763340687,4.5074807603135726e-8,Down,NA
ENSMUST00000071718.11,ENSMUSG00000026701,Prdx6,Prdx6-001,1.9832186476218956,5.0593049613293935e-8,Up,NA
ENSMUST00000023840.6,ENSMUSG00000023078,Cxcl13,Cxcl13-001,43.96866202925047,5.118110294102723e-8,Up,NA
ENSMUST00000064580.13,ENSMUSG00000030108,Slc6a13,Slc6a13-001,5.523773909215856,5.573823225465587e-8,Up,NA
ENSMUST00000038695.5,ENSMUSG00000040724,Kcna2,Kcna2-001,3.405908797158449,5.6557606090131826e-8,Up,NA
ENSMUST00000069789.11,ENSMUSG00000059201,Lep,Lep-001,6.6687220572310455,5.6557606090131826e-8,Up,Lipid metabolism
ENSMUST00000038770.3,ENSMUSG00000039646,Vasn,Vasn-001,2.8274919749164793,6.336813094799017e-8,Up,NA
ENSMUST00000189474.6,ENSMUSG00000090272,Mndal,Mndal-002,0.35796704928043394,6.75992250678955e-8,Down,NA
ENSMUST00000121175.7,ENSMUSG00000040488,Ltbp4,Ltbp4-002,0.4534274589699735,7.099570835269268e-8,Down,NA
ENSMUST00000037246.5,ENSMUSG00000034108,Ccs,Ccs-201,0.5777007181772158,7.47904760498376e-8,Down,NA
ENSMUST00000030677.6,ENSMUSG00000028862,Map3k6,Map3k6-001,3.016007230015177,7.819982444578457e-8,Up,NA
ENSMUST00000130287.1,ENSMUSG00000031147,Magix,Magix-002,0.27781600996235034,7.891606047428461e-8,Down,NA
ENSMUST00000033030.13,ENSMUSG00000030770,Parva,Parva-001,2.0592628699069566,8.10868785412939e-8,Up,NA
ENSMUST00000032476.10,ENSMUSG00000003153,Slc2a3,Slc2a3-001,4.426675965035972,8.220162488593862e-8,Up,NA
ENSMUST00000102826.3,ENSMUSG00000045932,Ifit2,Ifit2-001,0.41723511385938433,8.220162488593862e-8,Down,NA
ENSMUST00000010795.4,ENSMUSG00000010651,Acaa1b,Acaa1b-001,0.2489517611706941,8.242376758882588e-8,Down,NA
ENSMUST00000030551.10,ENSMUSG00000028766,Alpl,Alpl-001,0.48604726061066783,8.251997801450116e-8,Down,NA
ENSMUST00000191104.6,ENSMUSG00000055322,Tns1,Tns1-008,1.671922020402743,9.541799956451268e-8,Up,NA
ENSMUST00000039064.7,ENSMUSG00000035184,Fam124a,Fam124a-001,2.3252215724497516,1.04925747029357e-7,Up,NA
ENSMUST00000090986.10,ENSMUSG00000015852,Fcrls,Fcrls-001,0.21115001389325297,1.1174492027680654e-7,Down,NA
ENSMUST00000073150.5,ENSMUSG00000021846,Peli2,Peli2-201,1.6328953986547992,1.1258433783477828e-7,Up,NA
ENSMUST00000024829.6,ENSMUSG00000024030,Abcg1,Abcg1-001,2.6316750015491475,1.229116848689262e-7,Up,NA
ENSMUST00000168574.8,ENSMUSG00000045658,Pid1,Pid1-001,1.7649349546225417,1.2692063266888296e-7,Up,NA
ENSMUST00000003313.8,ENSMUSG00000003228,Grk5,Grk5-201,2.1164282912413634,1.3117157001969654e-7,Up,NA
ENSMUST00000066912.11,ENSMUSG00000054072,Iigp1,Iigp1-202,0.2981706316075183,1.3117157001969654e-7,Down,NA
ENSMUST00000044311.8,ENSMUSG00000032649,Colgalt2,Colgalt2-001,0.3588832569234159,1.3117157001969654e-7,Down,NA
ENSMUST00000092584.5,ENSMUSG00000069662,Marcks,Marcks-001,0.5971823790131988,1.3508446733928883e-7,Down,NA
ENSMUST00000196204.4,ENSMUSG00000079363,Gbp4,Gbp4-003,0.26547757389964954,1.3832563085986446e-7,Down,NA
ENSMUST00000109728.7,ENSMUSG00000027488,Snta1,Snta1-001,2.3610704807950604,1.6270254718964983e-7,Up,NA
ENSMUST00000221174.1,NA,NA,NA,0.1822392844111497,1.7764840842917344e-7,Down,NA
ENSMUST00000034187.8,ENSMUSG00000031740,Mmp2,Mmp2-201,0.4463569025750281,1.7908039418042518e-7,Down,NA
ENSMUST00000126787.1,ENSMUSG00000027111,Itga6,Itga6-005,0.5048215350172491,1.9002837557477038e-7,Down,NA
ENSMUST00000003620.12,ENSMUSG00000003526,Prodh,Prodh-002,3.6088054802305325,1.949214211838206e-7,Up,NA
ENSMUST00000022595.7,ENSMUSG00000022018,Rgcc,Rgcc-001,1.5886576280940534,2.0300359744029448e-7,Up,NA
ENSMUST00000128402.2,ENSMUSG00000021294,Kif26a,Kif26a-001,0.5519820505969627,2.0590141352267616e-7,Down,NA
ENSMUST00000095610.8,ENSMUSG00000021057,Akap5,Akap5-001,0.15205347493489457,2.1584180912665853e-7,Down,NA
ENSMUST00000149569.8,ENSMUSG00000033576,Apol6,Apol6-001,2.204620355297929,2.1877989208577718e-7,Up,NA
ENSMUST00000107730.2,ENSMUSG00000028339,Col15a1,Col15a1-008,0.19768582607912227,2.3651571939539015e-7,Down,NA
ENSMUST00000113856.7,ENSMUSG00000062609,Kcnj15,Kcnj15-201,28.9871539364269,2.398920494313764e-7,Up,NA
ENSMUST00000039026.7,ENSMUSG00000037010,Apln,Apln-001,0.16511334245917764,2.398920494313764e-7,Down,NA
ENSMUST00000020188.12,ENSMUSG00000020009,Ifngr1,Ifngr1-001,2.278060383378021,2.398920494313764e-7,Up,NA
ENSMUST00000155076.2,ENSMUSG00000090222,Gm16340,Gm16340-001,0.33652944011704933,2.398920494313764e-7,Down,NA
ENSMUST00000048121.12,ENSMUSG00000041794,Myrip,Myrip-001,2.9099087308280165,2.713334974085311e-7,Up,NA
ENSMUST00000105240.7,ENSMUSG00000039994,Timeless,Timeless-008,0.35806920529711744,2.821023704516111e-7,Down,Circadian rhythm
ENSMUST00000025561.7,ENSMUSG00000024659,Anxa1,Anxa1-001,2.4336514135335743,3.2740563238141277e-7,Up,NA
ENSMUST00000114195.7,ENSMUSG00000053062,Jam2,Jam2-001,0.6049982013132852,3.325118561023599e-7,Down,NA
ENSMUST00000165984.2,ENSMUSG00000049103,Ccr2,Ccr2-201,0.31215058800578993,3.3306685818004383e-7,Down,NA
ENSMUST00000027997.8,ENSMUSG00000026678,Rgs5,Rgs5-001,0.5967749581039377,3.6949243607850424e-7,Down,NA
ENSMUST00000163230.7,ENSMUSG00000022661,Cd200,Cd200-001,0.46245049719416237,3.7680814025222177e-7,Down,NA
ENSMUST00000108883.9,ENSMUSG00000018340,Anxa6,Anxa6-001,1.531799315812522,3.818023937734409e-7,Up,NA
ENSMUST00000042121.9,ENSMUSG00000037649,H2-DMa,H2-DMa-001,0.340678755012825,3.8623079786515767e-7,Down,NA
ENSMUST00000041008.9,ENSMUSG00000033373,Fntb,Fntb-001,1.7930930092543182,3.8799511509192017e-7,Up,NA
ENSMUST00000037287.7,ENSMUSG00000037664,Cdkn1c,Cdkn1c-201,0.45101680289879026,3.8862590065937265e-7,Down,NA
ENSMUST00000025549.13,ENSMUSG00000024646,Cyb5a,Cyb5a-005,1.5588211294439593,4.08310766205224e-7,Up,NA
ENSMUST00000101426.10,ENSMUSG00000023367,Tmem176a,Tmem176a-001,3.0132894616342165,4.227857881772389e-7,Up,NA
ENSMUST00000118317.7,ENSMUSG00000008730,Hipk1,Hipk1-001,1.8261070012015457,4.3266709845040583e-7,Up,NA
ENSMUST00000059667.8,ENSMUSG00000046093,Hpcal4,Hpcal4-001,0.3816594524897533,4.666842191526709e-7,Down,NA
ENSMUST00000069451.10,ENSMUSG00000055737,Ghr,Ghr-005,2.211238864810491,4.745333336801053e-7,Up,NA
ENSMUST00000134030.7,ENSMUSG00000042641,Rgsl1,Rgsl1-002,15.005654839630822,4.7581248377363704e-7,Up,NA
ENSMUST00000025931.12,ENSMUSG00000024975,Pdcd4,Pdcd4-201,0.6317863982424688,4.91029418550147e-7,Down,NA
ENSMUST00000040523.8,ENSMUSG00000036545,Adamts2,Adamts2-001,1.6446099929464166,6.630426075250258e-7,Up,NA
ENSMUST00000050884.14,ENSMUSG00000040681,Hmgn1,Hmgn1-001,0.6319723171381222,7.64651457586035e-7,Down,NA
ENSMUST00000159365.7,ENSMUSG00000045875,Adra1a,Adra1a-001,2.3834978766852055,7.64651457586035e-7,Up,NA
ENSMUST00000036564.7,ENSMUSG00000039760,Il22ra2,Il22ra2-001,16.38354090957009,7.64651457586035e-7,Up,NA
ENSMUST00000040320.9,ENSMUSG00000033039,Micall1,Micall1-201,2.53829131795729,7.87660228547706e-7,Up,NA
ENSMUST00000045224.13,ENSMUSG00000038007,Acer2,Acer2-001,2.1414610109545937,7.986871546405786e-7,Up,NA
ENSMUST00000033723.3,ENSMUSG00000031357,Syap1,Syap1-001,1.717622466295249,8.509195238128291e-7,Up,NA
ENSMUST00000061260.7,ENSMUSG00000046743,Fat4,Fat4-001,0.5726045985436898,9.008715129384541e-7,Down,NA
ENSMUST00000171629.1,ENSMUSG00000045094,Arhgef37,Arhgef37-201,4.205295212549087,9.094927614659204e-7,Up,NA
ENSMUST00000025234.5,ENSMUSG00000024376,Epb41l4a,Epb41l4a-201,0.40493385446296387,9.64246486137599e-7,Down,NA
ENSMUST00000041804.7,ENSMUSG00000038970,Lmtk2,Lmtk2-001,1.5525280200972642,1.002472732029767e-6,Up,NA
ENSMUST00000074694.6,ENSMUSG00000057614,Gnai1,Gnai1-001,2.2100766306910105,1.0053788070754694e-6,Up,NA
ENSMUST00000112902.7,ENSMUSG00000026749,Nek6,Nek6-002,2.9328394010226986,1.0328015708513952e-6,Up,NA
ENSMUST00000020040.4,ENSMUSG00000019890,Nts,Nts-201,0.09007583162756916,1.0917438082188407e-6,Down,NA
ENSMUST00000006380.4,ENSMUSG00000006218,Fam131c,Fam131c-001,0.10039848740972387,1.0980064607367048e-6,Down,NA
ENSMUST00000028864.2,ENSMUSG00000027386,Fbln7,Fbln7-201,0.22713437630026084,1.1124082053828006e-6,Down,NA
ENSMUST00000047677.8,ENSMUSG00000056531,Ccdc18,Ccdc18-001,0.31623591707198206,1.1339273242666228e-6,Down,NA
ENSMUST00000054920.4,ENSMUSG00000046312,AI464131,AI464131-001,1.501261260781276,1.1389065176043193e-6,Up,NA
ENSMUST00000121820.8,ENSMUSG00000058297,Spock2,Spock2-001,2.4597765325807606,1.1518771343088924e-6,Up,NA
ENSMUST00000024763.9,ENSMUSG00000023967,Mrps18a,Mrps18a-001,0.5447476051258502,1.1535803915445128e-6,Down,NA
ENSMUST00000033289.5,ENSMUSG00000030987,Stim1,Stim1-201,1.5023697857232412,1.182145444087498e-6,Up,NA
ENSMUST00000184973.7,ENSMUSG00000095463,Entpd4,Entpd4-001,0.5146236936675938,1.2634175121446608e-6,Down,NA
ENSMUST00000185072.7,ENSMUSG00000022066,Gm21685,Gm21685-001,0.5146236936675938,1.2634175121446608e-6,Down,NA
ENSMUST00000105680.8,ENSMUSG00000039852,Rere,Rere-003,0.7083612655365932,1.3016262242504945e-6,Down,NA
ENSMUST00000043150.5,ENSMUSG00000024981,Acsl5,Acsl5-201,0.4450105621354434,1.362020011388523e-6,Down,NA
ENSMUST00000049184.8,ENSMUSG00000034911,Ushbp1,Ushbp1-201,0.5008128688539186,1.4111038341616159e-6,Down,NA
ENSMUST00000022082.7,ENSMUSG00000021591,Glrx,Glrx-001,1.8973793090321294,1.41276329293161e-6,Up,NA
ENSMUST00000020974.6,ENSMUSG00000020644,Id2,Id2-201,0.3430242739787158,1.4179439434526818e-6,Down,NA
ENSMUST00000149816.7,ENSMUSG00000029772,Ahcyl2,Ahcyl2-003,2.4094854331704623,1.460578899894264e-6,Up,NA
ENSMUST00000080885.11,ENSMUSG00000059824,Dbp,Dbp-001,0.1959224384352603,1.460578899894264e-6,Down,Circadian rhythm
ENSMUST00000078139.12,ENSMUSG00000028207,Asph,Asph-001,22.334542883551464,1.5666301308655681e-6,Up,NA
ENSMUST00000081435.4,ENSMUSG00000035929,H2-Q4,H2-Q4-001,0.4029258961950692,1.6580608889669672e-6,Down,NA
ENSMUST00000090973.11,ENSMUSG00000004891,Nes,Nes-001,0.5578946169729004,1.6962935155721276e-6,Down,NA
ENSMUST00000097281.2,ENSMUSG00000039414,Heatr5b,Heatr5b-201,1.603243533221737,1.7071101617052795e-6,Up,NA
ENSMUST00000031238.12,ENSMUSG00000029298,Gbp9,Gbp9-001,0.4836806248945978,1.725078089741332e-6,Down,NA
ENSMUST00000109157.1,ENSMUSG00000047907,Tshz2,Tshz2-002,1.542540334491992,1.7559218813794325e-6,Up,NA
ENSMUST00000066529.4,ENSMUSG00000022206,Npr3,Npr3-201,2.793461889790607,1.7559218813794325e-6,Up,NA
ENSMUST00000039197.8,ENSMUSG00000039865,Slc44a3,Slc44a3-001,1.765193737606943,1.8714861519140814e-6,Up,NA
ENSMUST00000032185.8,ENSMUSG00000030096,Slc6a6,Slc6a6-001,0.5442781132716381,1.8714861519140814e-6,Down,NA
ENSMUST00000042665.8,ENSMUSG00000034422,Parp14,Parp14-001,0.6439436951983418,1.8714861519140814e-6,Down,NA
ENSMUST00000054294.6,ENSMUSG00000044674,Fzd1,Fzd1-001,1.7417296921862144,1.8714861519140814e-6,Up,NA
ENSMUST00000095270.2,ENSMUSG00000040441,Slc26a10,Slc26a10-201,0.1910759413510535,1.8714861519140814e-6,Down,NA
ENSMUST00000027974.6,ENSMUSG00000026663,Atf6,Atf6-001,1.4567445692860046,1.8756099486110178e-6,Up,NA
ENSMUST00000108920.8,ENSMUSG00000018899,Irf1,Irf1-001,0.5120003818560914,1.9025635402552596e-6,Down,NA
ENSMUST00000024860.7,ENSMUSG00000024065,Ehd3,Ehd3-001,2.5923127090377855,1.9316641864578014e-6,Up,NA
ENSMUST00000028897.7,ENSMUSG00000027408,Cpxm1,Cpxm1-001,0.25988700173478585,1.935327049034221e-6,Down,NA
ENSMUST00000051809.9,ENSMUSG00000046916,Myct1,Myct1-201,0.4577539274661901,1.935327049034221e-6,Down,NA
ENSMUST00000066701.12,ENSMUSG00000064215,Ifi27,Ifi27-002,0.5594838206670228,1.999107454697406e-6,Down,NA
ENSMUST00000113760.9,ENSMUSG00000053835,H2-T24,H2-T24-001,0.5072601722986197,2.0020440714448917e-6,Down,NA
ENSMUST00000035804.7,ENSMUSG00000033022,Cdo1,Cdo1-201,1.5074337835934073,2.1606630564660457e-6,Up,NA
ENSMUST00000026886.7,ENSMUSG00000025780,Itih5,Itih5-001,1.7522699639546602,2.1606630564660457e-6,Up,NA
ENSMUST00000023550.8,ENSMUSG00000022844,Pdia5,Pdia5-201,0.46499866487284575,2.1606630564660457e-6,Down,NA
ENSMUST00000089465.5,ENSMUSG00000050014,Apol10b,Apol10b-001,0.37724928468487207,2.25629963593779e-6,Down,NA
ENSMUST00000099112.3,ENSMUSG00000025348,Itga7,Itga7-201,2.094280900693112,2.25629963593779e-6,Up,NA
ENSMUST00000015511.14,ENSMUSG00000030123,Plxnd1,Plxnd1-001,0.5473845566740418,2.293718387453609e-6,Down,NA
ENSMUST00000114232.3,ENSMUSG00000079547,H2-DMb1,H2-DMb1-001,0.3226014511516048,2.348482277080012e-6,Down,NA
ENSMUST00000046383.11,ENSMUSG00000039304,Tnfsf10,Tnfsf10-001,0.4469489912033661,2.3744956019773726e-6,Down,NA
ENSMUST00000107258.8,ENSMUSG00000028402,Mpdz,Mpdz-010,1.7872322576864017,2.3744956019773726e-6,Up,NA
ENSMUST00000023237.7,ENSMUSG00000022574,Naprt,Naprt-201,0.6369622766858093,2.386122239855809e-6,Down,NA
ENSMUST00000042196.3,ENSMUSG00000042116,Vwa1,Vwa1-001,0.487315223564515,2.4437429668724276e-6,Down,NA
ENSMUST00000102678.4,ENSMUSG00000067212,H2-T23,H2-T23-001,0.4762975390745684,2.4437429668724276e-6,Down,NA
ENSMUST00000033169.8,ENSMUSG00000030878,Cdr2,Cdr2-001,2.124376559340062,2.476016836364324e-6,Up,NA
ENSMUST00000154394.1,ENSMUSG00000074771,Ankef1,Ankef1-007,2.1395731089680705,2.505044149322665e-6,Up,NA
ENSMUST00000172148.1,ENSMUSG00000007480,Mc5r,Mc5r-201,10.666583294023186,2.59978780332007e-6,Up,NA
ENSMUST00000000939.14,ENSMUSG00000000915,Hip1r,Hip1r-001,0.533018428920656,2.59978780332007e-6,Down,NA
ENSMUST00000070181.6,ENSMUSG00000038855,Itpkb,Itpkb-001,0.5626352700855948,2.744153083196417e-6,Down,NA
ENSMUST00000034026.9,ENSMUSG00000031613,Hpgd,Hpgd-201,2.459570855084804,2.7813611950590243e-6,Up,NA
ENSMUST00000087629.9,ENSMUSG00000029096,Htra3,Htra3-001,2.0097559884829317,3.0157588753574047e-6,Up,NA
ENSMUST00000102825.3,ENSMUSG00000074896,Ifit3,Ifit3-001,0.4238064298942725,3.0227889708263536e-6,Down,NA
ENSMUST00000021512.10,ENSMUSG00000021094,Dhrs7,Dhrs7-201,0.5795754375570858,3.1906693836448e-6,Down,NA
ENSMUST00000057561.8,ENSMUSG00000031563,Wwc2,Wwc2-201,1.418270729344316,3.2818514408240685e-6,Up,NA
ENSMUST00000165774.7,ENSMUSG00000028270,Gbp2,Gbp2-001,0.5769330992461477,3.395149468676638e-6,Down,NA
ENSMUST00000029451.11,ENSMUSG00000027858,Tspan2,Tspan2-001,0.5633901766818161,3.5357346108423652e-6,Down,NA
ENSMUST00000021790.6,ENSMUSG00000021361,Tmem14c,Tmem14c-201,0.6651122979338753,3.584017757535387e-6,Down,NA
ENSMUST00000006397.6,ENSMUSG00000006235,Epor,Epor-201,0.40600231392719477,3.992983110115142e-6,Down,NA
ENSMUST00000138003.7,ENSMUSG00000034842,Art3,Art3-017,0.528272164141388,4.323016481489846e-6,Down,NA
ENSMUST00000035672.4,ENSMUSG00000039457,Ppl,Ppl-201,2.49647817445757,4.323016481489846e-6,Up,NA
ENSMUST00000044530.2,ENSMUSG00000018809,Smyd4,Smyd4-001,1.7137176732913662,4.323016481489846e-6,Up,NA
ENSMUST00000045441.7,ENSMUSG00000033059,Pygb,Pygb-001,1.5862641618336528,4.340236037217298e-6,Up,NA
ENSMUST00000050952.3,ENSMUSG00000047963,Stbd1,Stbd1-001,0.5286807749613132,4.415920701720267e-6,Down,NA
ENSMUST00000194162.5,ENSMUSG00000104213,Ighd,Ighd-001,0.1318052272743215,4.457393122950214e-6,Down,NA
ENSMUST00000033664.13,ENSMUSG00000031304,Il2rg,Il2rg-001,0.4126398553195343,4.457393122950214e-6,Down,NA
ENSMUST00000060050.5,ENSMUSG00000050105,Grrp1,Grrp1-001,0.28432078339659733,4.561978581936613e-6,Down,NA
ENSMUST00000163394.1,ENSMUSG00000073460,Pnldc1,Pnldc1-201,2.0050325987109954,4.8042078631099465e-6,Up,NA
ENSMUST00000023829.6,ENSMUSG00000023067,Cdkn1a,Cdkn1a-001,3.5178620041094497,4.948476743994817e-6,Up,NA
ENSMUST00000034534.12,ENSMUSG00000032035,Ets1,Ets1-001,0.5602605967332139,5.063154034195471e-6,Down,NA
ENSMUST00000020629.4,ENSMUSG00000020363,Gfpt2,Gfpt2-001,2.359764752014123,5.152384544611861e-6,Up,NA
ENSMUST00000070478.3,ENSMUSG00000025743,Sdc3,Sdc3-001,0.639141436784885,5.152384544611861e-6,Down,NA
ENSMUST00000092956.2,ENSMUSG00000069833,Ahnak,Ahnak-202,1.6349371565794308,5.2787594564315595e-6,Up,NA
ENSMUST00000040261.5,ENSMUSG00000036278,Macrod1,Macrod1-201,0.6654233702860632,5.365199675063497e-6,Down,NA
ENSMUST00000174576.2,ENSMUSG00000096727,Psmb9,Psmb9-001,0.46078709145213503,5.365199675063497e-6,Down,NA
ENSMUST00000107620.2,ENSMUSG00000028076,Cd1d1,Cd1d1-005,0.6321782336395068,5.365199675063497e-6,Down,NA
ENSMUST00000021547.7,ENSMUSG00000066440,Zfyve26,Zfyve26-201,1.7269534546091447,5.365199675063497e-6,Up,NA
ENSMUST00000089332.4,ENSMUSG00000068196,Col8a1,Col8a1-001,0.4698931602758673,5.433520016244746e-6,Down,NA
ENSMUST00000027853.5,ENSMUSG00000026568,Mpc2,Mpc2-001,0.6514620385074181,5.620751860075028e-6,Down,NA
ENSMUST00000054607.15,ENSMUSG00000027597,Ahcy,Ahcy-001,1.760169801569644,5.722905103068719e-6,Up,NA
ENSMUST00000079652.6,ENSMUSG00000063060,Sox7,Sox7-201,0.43762525691515014,5.965584549715412e-6,Down,NA
ENSMUST00000166247.7,ENSMUSG00000029810,Tmem176b,Tmem176b-001,3.053510208231142,6.086013793739667e-6,Up,NA
ENSMUST00000014221.12,ENSMUSG00000014077,Chp1,Chp1-001,1.4441141198265173,6.7542415547297395e-6,Up,NA
ENSMUST00000089398.8,ENSMUSG00000068227,Il2rb,Il2rb-201,0.14196212775614026,6.83077217531278e-6,Down,NA
ENSMUST00000041591.15,ENSMUSG00000022425,Enpp2,Enpp2-001,1.49536314987009,6.863508059328244e-6,Up,NA
ENSMUST00000028062.7,ENSMUSG00000026728,Vim,Vim-001,1.5218003607980573,6.863508059328244e-6,Up,NA
ENSMUST00000020329.12,ENSMUSG00000020122,Egfr,Egfr-001,2.0841623583064712,6.872542260966821e-6,Up,NA
ENSMUST00000135937.1,ENSMUSG00000026385,Dbi,Dbi-005,2.2249201622294055,6.910162407635915e-6,Up,NA
ENSMUST00000174259.7,ENSMUSG00000022216,Psme1,Psme1-001,0.6056246773324522,6.9867256666492026e-6,Down,NA
ENSMUST00000052164.3,ENSMUSG00000048337,Npy4r,Npy4r-201,0.06912464088463102,7.506719074631836e-6,Down,NA
ENSMUST00000060311.11,ENSMUSG00000039959,Hip1,Hip1-001,1.8200423183422618,7.506719074631836e-6,Up,NA
ENSMUST00000174699.7,ENSMUSG00000073409,H2-Q6,H2-Q6-001,0.24325376880167293,7.506719074631836e-6,Down,NA
ENSMUST00000025358.2,ENSMUSG00000024481,Lvrn,Lvrn-201,3.4147494594502628,7.532172487731256e-6,Up,NA
ENSMUST00000018965.3,ENSMUSG00000018821,Avpi1,Avpi1-001,0.5929854891966339,7.584416359089489e-6,Down,NA
ENSMUST00000102604.10,ENSMUSG00000028792,Ak2,Ak2-001,0.7314899073293156,7.681344723667156e-6,Down,NA
ENSMUST00000032175.10,ENSMUSG00000030088,Aldh1l1,Aldh1l1-002,1.6867778355885361,7.681344723667156e-6,Up,NA
ENSMUST00000081510.3,ENSMUSG00000054612,Mgmt,Mgmt-201,0.5965553262963995,7.72827631460326e-6,Down,NA
ENSMUST00000102824.3,ENSMUSG00000034459,Ifit1,Ifit1-001,0.4147610928553379,7.882497141775073e-6,Down,NA
