TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.070	0.453	1086	1490	5313	7801	1985	0.00445	9396	0.00453	-2.959	2.764
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	797	1779	3840	9274	1226	0.00275	5855	0.00283	-3.403	3.024
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.060	0.466	2385	191	11970	1144	26273	0.0343	123070	0.0346	-3.777	4.188
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	189	2387	941	12173	209	0.000781	1034	0.000831	-4.102	0.918
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	2311	265	11524	1590	17569	0.0295	82565	0.0299	-4.801	5.492
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	8	2568	56	13058	8	2.99e-05	56	4.5e-05	-5.259	0.167
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	986	1590	4736	8378	1524	0.00256	7428	0.00269	-5.676	3.922
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.530	221	2355	1119	11995	243	0.000907	1232	0.000991	-6.131	0.730
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	1191	1385	5722	7392	2418	0.00361	11738	0.00378	-6.181	4.824
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	2190	386	10825	2289	12060	0.018	57206	0.0184	-6.649	6.792
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	1208	1368	5983	7131	2384	0.00445	11620	0.00467	-7.493	2.099
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	25	2551	165	12949	25	8.4e-05	166	0.00012	-7.645	0.095
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	198	2378	1029	12085	217	0.000689	1151	0.000787	-8.091	0.475
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.290	0.643	1444	1132	7041	6073	3371	0.00441	16521	0.00465	-8.297	4.231
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	220	2356	1110	12004	249	0.00093	1306	0.00105	-8.606	0.772
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.640	0.435	2218	358	11150	1964	14615	0.0191	69731	0.0196	-8.736	2.487
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	44	2532	268	12846	44	0.000164	274	0.00022	-8.750	0.122
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	15	2561	117	12997	16	6.27e-05	120	0.000101	-8.893	0.041
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	1094	1482	5337	7777	2016	0.00226	10154	0.00245	-8.947	3.003
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	870	1706	4370	8744	1416	0.00423	7015	0.00451	-9.759	1.088
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	224	2352	1173	11941	249	0.000651	1367	0.000769	-9.904	0.402
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	2091	485	10258	2856	10871	0.0122	52489	0.0127	-10.012	7.829
CTCF	MA0139.1	Zinc-coordinating 	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	423	2153	2194	10920	504	0.00179	2617	0.002	-10.947	0.417
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	1021	1555	4996	8118	1709	0.00415	8555	0.00447	-11.217	2.600
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	1013	1563	5113	8001	1803	0.00337	9137	0.00367	-11.754	0.960
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	506	2070	2618	10496	640	0.00131	3426	0.00152	-11.949	0.425
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.510	2374	202	11869	1245	24648	0.0276	118123	0.0285	-12.280	5.530
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	1439	1137	7250	5864	3375	0.0063	16777	0.00675	-12.550	1.195
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	1981	595	9796	3318	8320	0.0155	40384	0.0162	-12.860	4.672
Esrrb	MA0141.1	Zinc-coordinating      	Hormone-nuclear Receptor	vertebrates	12.806	0.524	1587	989	7750	5364	4076	0.00913	20102	0.0097	-13.370	4.682
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	2054	522	10157	2957	9425	0.0194	45615	0.0202	-13.440	5.207
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	932	1644	4565	8549	1590	0.00445	8061	0.00486	-13.591	2.351
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	331	2245	1776	11338	383	0.00129	2106	0.00152	-14.061	0.180
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	1981	595	9754	3360	8618	0.0129	42436	0.0137	-15.493	5.634
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	501	2075	2571	10543	672	0.00138	3769	0.00167	-16.271	0.542
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	1443	1133	7063	6051	3057	0.00628	15533	0.00687	-16.564	3.760
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	2047	529	10194	2920	9456	0.0141	46650	0.015	-16.760	3.601
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	1552	1024	7670	5444	4009	0.00749	20273	0.00815	-17.134	2.986
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	1031	1545	5195	7919	1799	0.0037	9446	0.00418	-17.325	1.030
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	901	1675	4552	8562	1489	0.00306	7989	0.00353	-18.533	0.901
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	1205	1371	6175	6939	2527	0.00472	13284	0.00534	-19.775	0.476
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	1193	1383	6005	7109	2423	0.00452	12785	0.00514	-19.947	1.135
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	1240	1336	6239	6875	2545	0.00475	13430	0.0054	-20.460	1.176
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	765	1811	4021	9093	1155	0.00259	6405	0.00309	-20.951	0.174
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.740	0.657	1642	934	8151	4963	5291	0.0079	27236	0.00876	-21.290	2.706
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	1994	582	9807	3307	7986	0.0149	39990	0.0161	-21.482	6.017
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	1462	1114	7360	5754	3714	0.00832	19241	0.00928	-23.212	1.256
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	786	1790	4178	8936	1242	0.00348	7067	0.00426	-27.839	0.089
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	1399	1177	7066	6048	3850	0.0101	20368	0.0115	-30.457	1.040
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	1003	1573	5315	7799	1941	0.00435	11066	0.00534	-31.446	0.065
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	2357	219	11841	1273	24278	0.0272	123412	0.0298	-35.040	3.523
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	1642	934	8273	4841	5092	0.00951	27744	0.0112	-36.300	1.305
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.650	0.609	1581	995	7892	5222	4305	0.0113	23317	0.0131	-38.059	2.016
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.400	0.588	1963	613	9820	3294	9951	0.0186	52337	0.021	-39.711	2.509
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	2392	184	11979	1135	29000	0.0325	151442	0.0365	-49.898	5.167
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	2337	239	11627	1487	24981	0.028	132138	0.0319	-51.256	6.857
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.820	1846	730	9086	4028	8797	0.0164	49102	0.0197	-55.179	4.765
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	1990	586	9969	3145	10912	0.0204	60049	0.0241	-56.829	2.373
