TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	92	2472	431	14366	102	0.00046	458	0.00037	10.233	3.233
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.070	0.202	1192	1372	6412	8385	2735	0.00616	14389	0.00582	9.978	6.440
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	821	1743	4298	10499	1290	0.00317	6662	0.00294	9.458	6.634
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	544	2020	2879	11918	740	0.00212	3812	0.00196	7.989	3.854
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	1725	839	9588	5209	5760	0.0142	31176	0.0138	7.673	4.858
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	1925	639	10643	4154	9042	0.013	48877	0.0126	7.663	7.625
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	1583	981	8575	6222	4415	0.0136	23886	0.0132	7.619	8.685
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.190	0.424	1339	1225	7272	7525	2868	0.00587	15298	0.00562	7.401	6.147
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	891	1673	4685	10112	1383	0.00312	7349	0.00297	5.851	6.786
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	1923	641	10710	4087	8307	0.0136	45371	0.0133	5.170	5.801
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	1964	600	10952	3845	8497	0.0191	46610	0.0188	4.813	5.854
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	940	1624	5141	9656	1496	0.00276	8010	0.00265	4.621	3.445
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	24	2540	106	14691	24	8.36e-05	108	6.75e-05	4.296	1.942
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	142	2422	703	14094	150	0.000369	758	0.000334	4.133	2.993
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	580	1984	3162	11635	833	0.00239	4469	0.0023	4.084	2.505
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	1994	570	11191	3606	9313	0.0153	51144	0.015	3.977	4.610
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	573	1991	3116	11681	861	0.00212	4619	0.00204	3.848	2.598
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.310	575	1989	3088	11709	817	0.00201	4379	0.00193	3.837	3.218
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	924	1640	4950	9847	1547	0.0038	8395	0.0037	3.598	5.145
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	403	2161	2145	12652	516	0.00148	2766	0.00142	3.282	2.856
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	602	1962	3214	11583	787	0.00226	4254	0.00219	3.181	3.665
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	998	1566	5384	9413	1874	0.00384	10210	0.00375	3.070	4.892
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.470	0.391	1995	569	10893	3904	8334	0.0171	46043	0.0169	2.464	12.655
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.280	247	2317	1414	13383	307	0.00088	1650	0.000849	2.355	0.771
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	2237	327	12263	2534	13346	0.0246	73962	0.0245	1.882	18.514
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	1356	1208	7592	7205	2889	0.00473	15915	0.00468	1.726	2.620
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	915	1649	5085	9712	1444	0.00444	7973	0.0044	1.333	2.292
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	998	1566	5532	9265	1773	0.00254	9775	0.00252	1.172	2.630
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	152	2412	820	13977	165	0.000473	897	0.000462	1.172	1.476
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	2274	290	12784	2013	16065	0.023	89329	0.023	0.683	7.218
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	393	2171	2281	12516	564	0.00173	3124	0.00172	0.536	0.589
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	118	2446	645	14152	121	0.000446	667	0.000441	0.489	1.188
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.610	302	2262	1687	13110	349	0.000715	1942	0.000714	0.068	1.205
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	2126	438	11926	2871	12388	0.0178	69019	0.0178	0.013	5.849
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	2	2562	11	14786	2	8.19e-06	11	8.09e-06	0.002	0.523
Gata1	MA0035.2	Zinc-coordinating 	GATA	vertebrates	10.878	0.373	2074	490	11548	3249	10284	0.0232	57314	0.0232	-0.088	7.441
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	185	2379	1017	13780	200	0.000819	1117	0.000821	-0.159	1.286
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	228	2336	1273	13524	265	0.00076	1482	0.000763	-0.235	1.119
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	816	1748	4448	10349	1241	0.00305	6945	0.00306	-0.542	3.255
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.070	0.453	1047	1517	5853	8944	1838	0.00452	10281	0.00453	-0.586	2.162
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	265	2299	1521	13276	314	0.000707	1770	0.000716	-0.693	0.740
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	168	2396	919	13878	177	0.000507	1002	0.000516	-0.802	1.319
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	843	1721	4779	10018	1360	0.00446	7635	0.00449	-1.121	1.245
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	10	2554	62	14735	10	4.1e-05	62	4.56e-05	-1.545	0.456
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	749	1815	4218	10579	1129	0.00277	6398	0.00282	-1.980	1.430
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	62	2502	375	14422	64	0.000197	383	0.000211	-2.230	0.421
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	1737	827	9648	5149	5504	0.0101	30976	0.0102	-2.247	5.050
Esrrb	MA0141.1	Zinc-coordinating      	Hormone-nuclear Receptor	vertebrates	12.806	0.524	1549	1015	8566	6231	3884	0.00955	21907	0.00966	-2.657	4.735
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	1401	1163	7718	7079	2963	0.00668	16784	0.00679	-2.996	4.544
Tal1::Gata1	MA0140.1	Zipper-Type 	Helix-Loop-Helix	vertebrates	11.297	0.451	901	1663	5136	9661	1480	0.00546	8401	0.00556	-3.048	1.067
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	47	2517	283	14514	47	0.000193	290	0.000213	-3.145	0.460
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	2165	399	12034	2763	11097	0.0182	62494	0.0184	-3.218	9.528
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	1189	1375	6591	8206	2224	0.00455	12732	0.00468	-4.056	3.106
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	189	2375	1132	13665	212	0.000738	1265	0.00079	-4.125	0.356
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	2306	258	12858	1939	16024	0.0295	90367	0.0299	-4.663	11.903
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	1135	1429	6265	8532	2223	0.00364	12831	0.00377	-4.721	3.323
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	1946	618	10808	3989	7668	0.0157	43471	0.016	-4.841	6.678
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.290	0.643	1384	1180	7745	7052	3128	0.00448	18047	0.00464	-5.177	2.727
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	1998	566	11201	3596	8655	0.016	49235	0.0163	-5.845	4.884
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	2018	546	11317	3480	8938	0.0146	50900	0.015	-5.889	4.953
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	334	2230	2058	12739	438	0.00135	2627	0.00145	-5.984	0.116
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	1415	1149	7973	6824	3181	0.00651	18330	0.00674	-6.023	2.167
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.530	202	2362	1212	13585	218	0.000893	1332	0.000979	-6.103	0.335
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	24	2540	178	14619	24	8.85e-05	179	0.000118	-6.104	0.106
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	1058	1506	5831	8966	1875	0.0023	11068	0.00244	-6.138	3.218
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.060	0.466	2363	201	13365	1432	23795	0.0341	134690	0.0347	-6.564	6.490
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	967	1597	5481	9316	1604	0.00427	9352	0.00447	-6.573	1.330
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	18	2546	138	14659	18	7.74e-05	143	0.00011	-6.956	0.107
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	1010	1554	5703	9094	1754	0.00395	10330	0.00418	-7.723	1.544
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.510	2350	214	13250	1547	22759	0.028	129463	0.0286	-7.774	7.627
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	502	2062	2887	11910	613	0.00138	3762	0.00152	-7.951	0.740
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	2053	511	11330	3467	9974	0.0123	57420	0.0127	-8.055	10.013
CTCF	MA0139.1	Zinc-coordinating 	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	398	2166	2434	12363	475	0.00185	2890	0.00202	-8.376	0.121
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	326	2238	1939	12858	372	0.00137	2299	0.00152	-8.496	0.335
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	762	1802	4400	10397	1160	0.00285	6950	0.00307	-8.587	0.663
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	850	1714	4959	9838	1451	0.00327	8657	0.0035	-8.664	0.434
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	1381	1183	7739	7058	3817	0.0109	22075	0.0114	-8.670	2.590
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.640	0.435	2199	365	12429	2368	13302	0.0191	76328	0.0196	-9.070	4.429
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	1924	640	10870	3927	7688	0.0157	44256	0.0163	-9.124	3.019
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	978	1586	5662	9135	1669	0.00342	10036	0.00369	-9.875	0.590
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	2006	558	11291	3506	8689	0.0196	49998	0.0202	-10.066	4.070
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	200	2364	1225	13572	223	0.000913	1446	0.00106	-10.152	0.220
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	1421	1143	8097	6700	3583	0.00881	20962	0.00925	-10.171	1.338
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	1188	1376	6836	7961	2463	0.00504	14648	0.00538	-10.268	0.781
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	1166	1398	6782	8015	2429	0.00497	14475	0.00532	-10.513	0.447
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	1934	630	10819	3978	7960	0.013	46236	0.0136	-10.580	4.908
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	470	2094	2824	11973	657	0.00148	4161	0.00168	-10.914	0.195
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	1517	1047	8494	6303	3760	0.0077	22200	0.00816	-11.291	3.000
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.740	0.657	1615	949	8945	5852	5039	0.00826	29695	0.00873	-11.311	4.838
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	865	1699	5041	9756	1461	0.00449	8846	0.00488	-12.345	0.452
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	1150	1414	6642	8155	2300	0.00471	14042	0.00516	-13.912	0.651
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	759	1805	4581	10216	1216	0.00374	7710	0.00425	-17.509	0.084
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.650	0.609	1564	1000	8725	6072	4266	0.0122	25532	0.0131	-17.608	3.587
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	977	1587	5853	8944	1914	0.0047	12081	0.00533	-18.970	0.082
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	2350	214	13200	1597	22986	0.0282	135017	0.0298	-19.916	9.526
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	1598	966	9152	5645	4871	0.00998	30376	0.0112	-25.018	1.102
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	2366	198	13382	1415	27766	0.0341	165795	0.0366	-28.798	6.558
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	1981	583	11072	3725	10705	0.0219	65479	0.0241	-30.919	5.455
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.400	0.588	1918	646	10870	3927	9255	0.019	57196	0.021	-31.875	2.525
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.820	1779	785	10055	4742	8594	0.0176	53572	0.0197	-33.258	2.544
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	2306	258	12971	1826	23554	0.0289	144740	0.0319	-37.437	7.650
